id,week,name,artist,kana,year,nation,label,producer,corner,youtube
228,27,Fall in Love Once Again,SPORTS,,2006,JPN,ビクターエンタテイメント,,ちょっぴりタイムマシーン,
229,28,ハニーハニー,スピッツ,,1992,JPN,ポリドール,高橋信彦,漫遊前の一曲,
230,28,Run Run Run,Jo Jo Gunne,,1972,US,Asylum,Tom Dowd,,
231,28,ハイ!チャイナ!,thee michelle gun elephant,,1997,JPN,TRIAD,,,
232,28,Panic,The Smiths,,1986,UK,Rough Trade,John Porter,,wMykYSQaG_c
233,28,Midnight Teenage Shuffle,PERSONZ,,1987,JPN,BAIDIS,,,pUnQzRNxfiA
234,28,Gepetto,Belly,,1993,US,Sire,Gil Norton,,SBi676v4Gs4
235,28,Lazy Sunday,Small Faces,,1968,UK,EMI,,,
236,28,Southern Girls,Cheap Trick,,1977,US,Epic,Tom Werman,,VRSg81H7Bm0
237,28,体力に限界はあるのか,カステラ,,1989,JPN,CBS・ソニー,,ちょっぴりタイムマシーン,
238,29,ハチの針,スピッツ,,2016,JPN,ユニバーサル,亀田誠治,漫遊前の一曲,
239,29,You Really Got Me,The Kinks,,1964,UK,Pye,Shel Talmy,,fTTsY-oz6Go
240,29,Rock Bottom,UFO,,1974,UK,Chrysalis,Leo Lyons,,
241,29,Welcome to the Jungle,Guns N' Roses,,1987,US,Geffen,Mike Clink,,o1tj2zJ2Wvg
242,29,Sick of Myself,Matthew Sweet,,1995,US,Zoo Entertainment,Brendan O’Brien,,sNfocDNZWY8
243,29,People of the Sun,Rage Against the Machine,,1996,US,Epic,Brendan O’Brien,,scyC9A6o_Ts
244,29,ユー・エフ・オー,吉田ヨウヘイgroup,よしだようへいぐるーぷ,2015,JPN,P-VINE,,,sXr0jiIUr6g
245,29,星のリンダ,JET KELLY,,2004,JPN,meldac,,ちょっぴりタイムマシーン,
246,30,夏の魔物,スピッツ,,1991,JPN,ポリドール,高橋信彦,漫遊前の一曲,
247,30,サマーツアー,RCサクセション,,1982,JPN,ロンドン・レコード,,,
248,30,SUMMER SONG,YUI,,2008,JPN,STUDIOSEVEN Recordings,HISASHI KONDO,,JW7y1gzWISA
249,30,Summer Soul,cero,,2015,JPN,カクバリズム,,,lfETQNfBAD4
250,30,SUMMER BREEZE,go!go!vanillas,,2018,JPN,ビクターエンタテイメント,,,lTYHDtukfcw
251,30,夏が来て僕等,真島昌利,ましままさとし,1989,JPN,メルダック,篠原太郎,,
252,30,真夏の夜の事,初恋の嵐,はつこいのあらし,2002,JPN,ユニバーサル,,,1_Op0iJ9Ddc
253,30,あなほり,KUSU KUSU,,1989,JPN,ゴリランドレコード,,ちょっぴりタイムマシーン,
